id,title,slug,tg_type,area,created,oblast_id
1,Андріївська,andriyivska,сільська,159.51,2022-05-08 09:52:26.693040,5
2,Апостолівська,apostolivska,міська,676.76,2022-05-08 09:52:26.693040,4
3,Асканія-Нова,askaniya-nova,селищна,400.72,2022-05-08 09:52:26.693040,21
4,Берестівська,berestivska,сільська,498.15,2022-05-08 09:52:26.693040,8
5,Біловодська,bilovodska,селищна,1596.06,2022-05-08 09:52:26.693040,12
6,Білокуракинська,bilokurakinska,селищна,1124.29,2022-05-08 09:52:26.693040,12
7,Вакулівська,vakulivska,сільська,285.44,2022-05-08 09:52:26.693040,4
8,Великобілозерська,velikobilozerska,сільська,471.05,2022-05-08 09:52:26.693040,8
9,Великокопанівська,velikokopanivska,сільська,112.92,2022-05-08 09:52:26.693040,21
10,Вербківська,verbkivska,сільська,582.99,2022-05-08 09:52:26.693040,4
11,Верхньодніпровська,verhnodniprovska,міська,1030.96,2022-05-08 09:52:26.693040,4
12,Веселівська,veselivska,селищна,567.59,2022-05-08 09:52:26.693040,8
13,Високопільська,visokopilska,селищна,495.39,2022-05-08 09:52:26.693040,21
14,Горностаївська,gornostayivska,селищна,757.78,2022-05-08 09:52:26.693040,21
15,Гречаноподівська,grechanopodivska,сільська,257.16,2022-05-08 09:52:26.693040,4
16,Дзвиняцька,dzvinyacka,сільська,80.05,2022-05-08 09:52:26.693040,9
17,Донецька,donecka,селищна,345.09,2022-05-08 09:52:26.693040,20
18,Зачепилівська,zachepilivska,селищна,794.74,2022-05-08 09:52:26.693040,20
19,Званівська,zvanivska,сільська,115.41,2022-05-08 09:52:26.693040,5
20,Золочівська,zolochivska,селищна,970.51,2022-05-08 09:52:26.693040,20
21,Іларіонівська,ilarionivska,селищна,235.33,2022-05-08 09:52:26.693040,4
22,Іллінівська,illinivska,сільська,523.34,2022-05-08 09:52:26.693040,5
23,Кіптівська,kiptivska,сільська,537.85,2022-05-08 09:52:26.693040,25
24,Коломацька,kolomacka,селищна,321.7,2022-05-08 09:52:26.693040,20
25,Комиш-Зорянська,komish-zoryanska,селищна,370.64,2022-05-08 09:52:26.693040,8
26,Кочубеївська,kochubeyivska,сільська,206.21,2022-05-08 09:52:26.693040,21
27,Красноріченська,krasnorichenska,селищна,443.3,2022-05-08 09:52:26.693040,12
28,Ланчинська,lanchinska,селищна,84.68,2022-05-08 09:52:26.693040,9
29,Лиманська,limanska,міська,1205.07,2022-05-08 09:52:26.693040,5
30,Личківська,lichkivska,сільська,298.06,2022-05-08 09:52:26.693040,4
31,Лозно-Олександрівська,lozno-oleksandrivska,селищна,533.87,2022-05-08 09:52:26.693040,12
32,Любецька,lyubecka,селищна,595.25,2022-05-08 09:52:26.693040,25
33,Малоданилівська,malodanilivska,селищна,104.71,2022-05-08 09:52:26.693040,20
34,Межівська,mezhivska,селищна,630.65,2022-05-08 09:52:26.693040,4
35,Мереф'янська,meref'yanska,міська,131.72,2022-05-08 09:52:26.693040,20
36,Миколаївська,mikolayivska,сільська,372.45,2022-05-08 09:52:26.693040,4
37,Миколаївська,mikolayivska_BAD,сільська,459.11,2022-05-08 09:52:26.693040,4
38,Миколаївська,mikolayivska_don,міська,334.39,2022-05-08 09:52:26.693040,5
39,Милівська,milivska,сільська,551.82,2022-05-08 09:52:26.693040,21
40,Мирівська,mirivska,сільська,321.1,2022-05-08 09:52:26.693040,4
